node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0001669502,-0.0000307248,-0.0004571006,0.0004876037
23382,0.0001687387,-0.0000280985,-0.0004649278,0.0004953990
23383,0.0001700871,-0.0000256609,-0.0004707933,0.0005012329
23384,0.0001706755,-0.0000229217,-0.0004748131,0.0005050772
23385,0.0001710139,-0.0000205212,-0.0004769232,0.0005070726
23386,0.0001709123,-0.0000184892,-0.0004774893,0.0005074928
23387,0.0001701208,-0.0000161058,-0.0004763076,0.0005060330
23388,0.0001690394,-0.0000136810,-0.0004732337,0.0005027043
23389,0.0001672781,-0.0000111347,-0.0004682436,0.0004973510
23390,0.0001651470,-0.0000090070,-0.0004618430,0.0004905646
23391,0.0001625061,-0.0000062679,-0.0004537878,0.0004820486
23392,0.0001594254,-0.0000038974,-0.0004441435,0.0004719058
23393,0.0001558149,-0.0000010654,-0.0004329359,0.0004601228
23394,0.0001520148,0.0000016379,-0.0004202705,0.0004469211
23395,0.0001479945,0.0000043728,-0.0004061074,0.0004322554
23396,0.0001435653,0.0000070788,-0.0003910247,0.0004166071
23397,0.0001387261,0.0000099064,-0.0003745617,0.0003995492
23398,0.0001334273,0.0000132553,-0.0003568599,0.0003812185
23399,0.0001280293,0.0000163855,-0.0003381782,0.0003619730
23400,0.0001222917,0.0000197770,-0.0003185618,0.0003418011
23401,0.0001163744,0.0000232800,-0.0002979443,0.0003207113
23402,0.0001104288,0.0000268038,-0.0002770462,0.0002994455
23403,0.0001041621,0.0000305597,-0.0002548516,0.0002770071
23404,0.0000980173,0.0000342762,-0.0002326777,0.0002547963
23405,0.0000915720,0.0000382845,-0.0002096559,0.0002319628
23406,0.0000852177,0.0000421880,-0.0001863650,0.0002092219
23407,0.0000788945,0.0000461185,-0.0001630436,0.0001869077
23408,0.0000725214,0.0000501726,-0.0001393494,0.0001649088
23409,0.0000661925,0.0000542088,-0.0001157877,0.0001439681
23410,0.0000599593,0.0000582711,-0.0000923383,0.0001245673
23411,0.0000538349,0.0000623116,-0.0000690846,0.0001074877
23412,0.0000478694,0.0000663472,-0.0000461370,0.0000939258
23413,0.0000420208,0.0000703890,-0.0000234784,0.0000852736
23414,0.0000364040,0.0000743429,-0.0000015020,0.0000827912
23415,0.0000309982,0.0000780849,0.0000200158,0.0000863642
23416,0.0000257543,0.0000818200,0.0000407381,0.0000949599
23417,0.0000208153,0.0000854022,0.0000607374,0.0001068450
23418,0.0000161104,0.0000888634,0.0000798901,0.0001205764
23419,0.0000116865,0.0000920916,0.0000981989,0.0001351312
23420,0.0000074866,0.0000951708,0.0001156004,0.0001499232
23421,0.0000034928,0.0000980849,0.0001319485,0.0001644484
23422,-0.0000002479,0.0001008359,0.0001472454,0.0001784633
23423,-0.0000037575,0.0001032479,0.0001614954,0.0001917160
23424,-0.0000070680,0.0001053257,0.0001745188,0.0002039614
23425,-0.0000101124,0.0001070635,0.0001862157,0.0002150376
23426,-0.0000128676,0.0001085221,0.0001965598,0.0002248964
23427,-0.0000152476,0.0001097575,0.0002056303,0.0002335873
23428,-0.0000174854,0.0001105597,0.0002135282,0.0002410881
23429,-0.0000193320,0.0001110377,0.0002197313,0.0002469513
23430,-0.0000208820,0.0001110544,0.0002248312,0.0002516311
23431,-0.0000221919,0.0001108176,0.0002285552,0.0002549716
23432,-0.0000233300,0.0001102398,0.0002310198,0.0002570355
23433,-0.0000242979,0.0001093432,0.0002321978,0.0002578025
23434,-0.0000250024,0.0001081135,0.0002321643,0.0002573206
23435,-0.0000255830,0.0001065802,0.0002309758,0.0002556632
23436,-0.0000260329,0.0001047355,0.0002286482,0.0002528383
23437,-0.0000263291,0.0001026473,0.0002252038,0.0002488905
23438,-0.0000265382,0.0001002217,0.0002207318,0.0002438672
23439,-0.0000266711,0.0000975214,0.0002152014,0.0002377676
23440,-0.0000267251,0.0000944236,0.0002086619,0.0002305858
23441,-0.0000266002,0.0000911922,0.0002012028,0.0002224997
23442,-0.0000263666,0.0000876641,0.0001929636,0.0002135771
23443,-0.0000261072,0.0000838963,0.0001839843,0.0002038882
23444,-0.0000258298,0.0000799868,0.0001743247,0.0001935308
23445,-0.0000255171,0.0000758996,0.0001640478,0.0001825474
23446,-0.0000251918,0.0000716476,0.0001532449,0.0001710322
23447,-0.0000248535,0.0000672837,0.0001419862,0.0001590751
23448,-0.0000244900,0.0000628351,0.0001303693,0.0001467793
23449,-0.0000241380,0.0000582935,0.0001184717,0.0001342249
23450,-0.0000237887,0.0000537120,0.0001064062,0.0001215449
23451,-0.0000233997,0.0000491356,0.0000941937,0.0001087856
23452,-0.0000230551,0.0000445732,0.0000818682,0.0000960245
23453,-0.0000227339,0.0000400108,0.0000696159,0.0000834510
23454,-0.0000223729,0.0000355124,0.0000575718,0.0000712474
23455,-0.0000220245,0.0000311039,0.0000456592,0.0000594752
23456,-0.0000217267,0.0000267752,0.0000339119,0.0000483630
23457,-0.0000213680,0.0000225964,0.0000226208,0.0000384563
23458,-0.0000210220,0.0000185675,0.0000117537,0.0000304109
23459,-0.0000206761,0.0000147783,0.0000014198,0.0000254542
23460,-0.0000202812,0.0000111489,-0.0000085050,0.0000246568
23461,-0.0000198916,0.0000076992,-0.0000177393,0.0000277423
23462,-0.0000194635,0.0000045592,-0.0000263558,0.0000330793
23463,-0.0000189660,0.0000015692,-0.0000343641,0.0000392819
23464,-0.0000184612,-0.0000012118,-0.0000415640,0.0000454957
23465,-0.0000178230,-0.0000037427,-0.0000480266,0.0000513636
23466,-0.0000171542,-0.0000061138,-0.0000537381,0.0000567401
23467,-0.0000163606,-0.0000080066,-0.0000584679,0.0000612394
23468,-0.0000154581,-0.0000097185,-0.0000624302,0.0000650456
23469,-0.0000144159,-0.0000112126,-0.0000653817,0.0000678845
23470,-0.0000131529,-0.0000123761,-0.0000673717,0.0000697504
23471,-0.0000119528,-0.0000132205,-0.0000685557,0.0000708345
23472,-0.0000105364,-0.0000138755,-0.0000687910,0.0000709630
23473,-0.0000088766,-0.0000141909,-0.0000679427,0.0000699742
23474,-0.0000071524,-0.0000141969,-0.0000661731,0.0000680557
23475,-0.0000054663,-0.0000140341,-0.0000636689,0.0000654260
23476,-0.0000033126,-0.0000135414,-0.0000600972,0.0000616929
23477,-0.0000010779,-0.0000128498,-0.0000555979,0.0000570737
23478,0.0000013250,-0.0000118790,-0.0000503153,0.0000517155
23479,0.0000039541,-0.0000106991,-0.0000441700,0.0000456190
23480,0.0000066263,-0.0000092800,-0.0000372266,0.0000389338
23481,0.0000094997,-0.0000076918,-0.0000295974,0.0000320221
23482,0.0000125302,-0.0000059845,-0.0000212851,0.0000254141
23483,0.0000156667,-0.0000041481,-0.0000123317,0.0000203648
23484,0.0000189953,-0.0000021627,-0.0000028076,0.0000193231
23485,0.0000224560,-0.0000000783,0.0000072353,0.0000235930
23486,0.0000260507,0.0000021152,0.0000177718,0.0000316062
23487,0.0000296924,0.0000043976,0.0000286970,0.0000415271
23488,0.0000335111,0.0000067589,0.0000399661,0.0000525924
23489,0.0000374157,0.0000091592,0.0000514542,0.0000642756
23490,0.0000412682,0.0000115884,0.0000631965,0.0000763620
23491,0.0000452867,0.0000140665,0.0000749386,0.0000886822
23492,0.0000492320,0.0000165134,0.0000868156,0.0001011604
23493,0.0000532052,0.0000189792,0.0000985032,0.0001135512
23494,0.0000571121,0.0000213737,0.0001101568,0.0001259093
23495,0.0000610229,0.0000237671,0.0001215020,0.0001380269
23496,0.0000648175,0.0000260893,0.0001325245,0.0001498155
