node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0001365773,-0.0000475407,-0.0003664117,0.0003939175
23382,0.0001392481,-0.0000455255,-0.0003773103,0.0004047539
23383,0.0001415889,-0.0000436885,-0.0003867430,0.0004141573
23384,0.0001433696,-0.0000416496,-0.0003947459,0.0004220353
23385,0.0001449503,-0.0000398989,-0.0004013066,0.0004285435
23386,0.0001461910,-0.0000384464,-0.0004066960,0.0004338797
23387,0.0001469218,-0.0000367620,-0.0004107189,0.0004377528
23388,0.0001474327,-0.0000350758,-0.0004132863,0.0004401958
23389,0.0001474238,-0.0000333077,-0.0004143568,0.0004410610
23390,0.0001471051,-0.0000318978,-0.0004143185,0.0004408142
23391,0.0001464267,-0.0000300460,-0.0004129497,0.0004391708
23392,0.0001453786,-0.0000285025,-0.0004103588,0.0004362816
23393,0.0001439307,-0.0000266271,-0.0004064639,0.0004320161
23394,0.0001423233,-0.0000248599,-0.0004013930,0.0004266032
23395,0.0001405257,-0.0000231008,-0.0003951329,0.0004200132
23396,0.0001383796,-0.0000213702,-0.0003880112,0.0004125025
23397,0.0001359033,-0.0000195876,-0.0003797907,0.0004038494
23398,0.0001330776,-0.0000173832,-0.0003704718,0.0003940320
23399,0.0001301129,-0.0000153772,-0.0003602688,0.0003833529
23400,0.0001268589,-0.0000131595,-0.0003491798,0.0003717430
23401,0.0001234350,-0.0000108699,-0.0003372083,0.0003592545
23402,0.0001199434,-0.0000085592,-0.0003247640,0.0003463111
23403,0.0001161805,-0.0000060760,-0.0003112556,0.0003322873
23404,0.0001124500,-0.0000036019,-0.0002974953,0.0003180588
23405,0.0001084788,-0.0000008753,-0.0002829281,0.0003030127
23406,0.0001045089,0.0000017726,-0.0002678932,0.0002875622
23407,0.0001004704,0.0000044619,-0.0002526230,0.0002719054
23408,0.0000963780,0.0000072732,-0.0002368137,0.0002557779
23409,0.0000922672,0.0000100959,-0.0002208404,0.0002395530
23410,0.0000881633,0.0000129700,-0.0002046839,0.0002232409
23411,0.0000840895,0.0000158657,-0.0001883811,0.0002069062
