node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0003310522,0.0000307495,-0.0008871205,0.0009473774
23382,0.0003302163,0.0000340922,-0.0008850417,0.0009452534
23383,0.0003287803,0.0000372439,-0.0008800466,0.0009401945
23384,0.0003262745,0.0000408645,-0.0008723699,0.0009322843
23385,0.0003234186,0.0000440741,-0.0008618779,0.0009216158
23386,0.0003199527,0.0000468427,-0.0008490118,0.0009085070
23387,0.0003155067,0.0000501903,-0.0008336792,0.0008927960
23388,0.0003106207,0.0000536668,-0.0008155877,0.0008743847
23389,0.0003048246,0.0000573923,-0.0007947584,0.0008531429
23390,0.0002985683,0.0000606068,-0.0007718395,0.0008297906
23391,0.0002915120,0.0000647603,-0.0007466121,0.0008041161
23392,0.0002839254,0.0000684727,-0.0007190388,0.0007760921
23393,0.0002755687,0.0000729342,-0.0006893412,0.0007459550
23394,0.0002670218,0.0000772646,-0.0006575462,0.0007138890
23395,0.0002581749,0.0000817340,-0.0006235374,0.0006798041
23396,0.0002488073,0.0000862325,-0.0005884535,0.0006446849
23397,0.0002388897,0.0000909799,-0.0005512520,0.0006076383
23398,0.0002283048,0.0000965364,-0.0005124252,0.0005692292
23399,0.0002176913,0.0001018519,-0.0004722754,0.0005299126
23400,0.0002066055,0.0001076365,-0.0004308991,0.0004898423
23401,0.0001952996,0.0001136301,-0.0003880677,0.0004490548
23402,0.0001840594,0.0001197030,-0.0003452002,0.0004091086
23403,0.0001723350,0.0001262345,-0.0003001706,0.0003684249
23404,0.0001608732,0.0001327255,-0.0002555669,0.0003298647
23405,0.0001489548,0.0001397352,-0.0002096064,0.0002926573
23406,0.0001372702,0.0001466341,-0.0001634140,0.0002589379
23407,0.0001256934,0.0001536223,-0.0001173750,0.0002305982
23408,0.0001140748,0.0001608793,-0.0000707851,0.0002095369
23409,0.0001025710,0.0001681456,-0.0000245892,0.0001984902
23410,0.0000912646,0.0001755110,0.0000213203,0.0001989671
23411,0.0000801747,0.0001828856,0.0000668033,0.0002105654
23412,0.0000693842,0.0001902993,0.0001117094,0.0002313158
23413,0.0000588100,0.0001977623,0.0001560781,0.0002587062
23414,0.0000486042,0.0002051844,0.0001992790,0.0002901295
