node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0001687310,0.0000513375,-0.0004777158,0.0005092328
23382,0.0001662718,0.0000539012,-0.0004693726,0.0005008615
23383,0.0001633726,0.0000563735,-0.0004589468,0.0004904088
23384,0.0001596635,0.0000592244,-0.0004466614,0.0004780234
23385,0.0001557044,0.0000618239,-0.0004323890,0.0004637093
23386,0.0001513053,0.0000641219,-0.0004164327,0.0004476841
23387,0.0001461761,0.0000669085,-0.0003988129,0.0004299952
23388,0.0001407068,0.0000698138,-0.0003792715,0.0004105109
23389,0.0001345774,0.0000729476,-0.0003578569,0.0003892223
23390,0.0001281578,0.0000757200,-0.0003350250,0.0003666056
23391,0.0001211080,0.0000792110,-0.0003107023,0.0003427498
23392,0.0001137280,0.0000824205,-0.0002847684,0.0003175221
23393,0.0001057778,0.0000861987,-0.0002575379,0.0002914531
23394,0.0000977372,0.0000898956,-0.0002289545,0.0002646770
23395,0.0000894768,0.0000937009,-0.0001989632,0.0002374285
23396,0.0000809153,0.0000975350,-0.0001684715,0.0002108151
23397,0.0000719838,0.0001015777,-0.0001366428,0.0001848538
23398,0.0000625920,0.0001061589,-0.0001040163,0.0001612664
23399,0.0000532713,0.0001105890,-0.0000707143,0.0001416625
23400,0.0000436831,0.0001153277,-0.0000369128,0.0001287294
23401,0.0000339929,0.0001202050,-0.0000024139,0.0001249423
23402,0.0000244468,0.0001250814,0.0000316327,0.0001313151
23403,0.0000146279,0.0001302659,0.0000669077,0.0001471728
23404,0.0000050810,0.0001353697,0.0001013418,0.0001691772
23405,-0.0000047284,0.0001407017,0.0001362527,0.0001959186
23406,-0.0000142667,0.0001459525,0.0001707655,0.0002250923
23407,-0.0000235181,0.0001511724,0.0002046743,0.0002555343
23408,-0.0000327534,0.0001564706,0.0002383288,0.0002869782
23409,-0.0000418037,0.0001617079,0.0002711207,0.0003184390
23410,-0.0000505707,0.0001668940,0.0003030121,0.0003496102
23411,-0.0000590759,0.0001719789,0.0003339400,0.0003802402
23412,-0.0000672400,0.0001769927,0.0003637412,0.0004100674
23413,-0.0000751339,0.0001819853,0.0003924924,0.0004391060
23414,-0.0000824937,0.0001865569,0.0004193806,0.0004663569
23415,-0.0000894774,0.0001907473,0.0004451123,0.0004924588
23416,-0.0000961530,0.0001948367,0.0004688942,0.0005167867
23417,-0.0001022916,0.0001986150,0.0004910326,0.0005394669
23418,-0.0001080041,0.0002020923,0.0005113342,0.0005603292
23419,-0.0001132217,0.0002050886,0.0005298052,0.0005792875
23420,-0.0001180573,0.0002077640,0.0005462517,0.0005962335
23421,-0.0001225520,0.0002100684,0.0005606801,0.0006111546
23422,-0.0001266408,0.0002120319,0.0005730267,0.0006239832
23423,-0.0001303476,0.0002133544,0.0005832212,0.0006345531
23424,-0.0001337456,0.0002140362,0.0005911457,0.0006427695
23425,-0.0001367276,0.0002140570,0.0005965576,0.0006483794
23426,-0.0001392738,0.0002135570,0.0005994700,0.0006514354
23427,-0.0001412302,0.0002126362,0.0005999068,0.0006519573
23428,-0.0001429777,0.0002109546,0.0005983663,0.0006503743
23429,-0.0001441265,0.0002086223,0.0005936538,0.0006455389
23430,-0.0001448465,0.0002055192,0.0005869647,0.0006385501
23431,-0.0001452178,0.0002019355,0.0005779338,0.0006291849
23432,-0.0001453402,0.0001977310,0.0005665142,0.0006173813
23433,-0.0001452741,0.0001929462,0.0005530867,0.0006035211
23434,-0.0001448491,0.0001876005,0.0005373741,0.0005873211
23435,-0.0001442856,0.0001817246,0.0005197543,0.0005691983
23436,-0.0001435733,0.0001752879,0.0005001730,0.0005491012
23437,-0.0001426823,0.0001684207,0.0004786562,0.0005271011
23438,-0.0001417226,0.0001609731,0.0004555083,0.0005034734
23439,-0.0001407043,0.0001530350,0.0004305331,0.0004780964
23440,-0.0001396674,0.0001444165,0.0004039343,0.0004511386
23441,-0.0001384018,0.0001356077,0.0003758155,0.0004228260
23442,-0.0001370566,0.0001262984,0.0003464804,0.0003934265
23443,-0.0001357437,0.0001165789,0.0003158321,0.0003629971
23444,-0.0001344773,0.0001066091,0.0002842738,0.0003320561
23445,-0.0001332523,0.0000963390,0.0002517086,0.0003006570
