node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0002347228,0.0000503991,-0.0006349682,0.0006788368
23382,0.0002326131,0.0000527433,-0.0006277911,0.0006715745
23383,0.0002300835,0.0000549960,-0.0006184972,0.0006621946
23384,0.0002267639,0.0000576070,-0.0006072979,0.0006508081
23385,0.0002232043,0.0000599564,-0.0005940716,0.0006374449
23386,0.0002192147,0.0000620141,-0.0005791225,0.0006223212
23387,0.0002145150,0.0000645402,-0.0005624382,0.0006054080
23388,0.0002094862,0.0000671947,-0.0005437940,0.0005866102
23389,0.0002038153,0.0000700475,-0.0005232138,0.0005658622
23390,0.0001978462,0.0000725687,-0.0005011521,0.0005436568
23391,0.0001912748,0.0000757883,-0.0004775131,0.0005199507
23392,0.0001843572,0.0000787263,-0.0004522014,0.0004946428
23393,0.0001768823,0.0000822426,-0.0004254616,0.0004680478
23394,0.0001693021,0.0000856774,-0.0003972886,0.0004402749
23395,0.0001615159,0.0000892404,-0.0003675648,0.0004112847
23396,0.0001533956,0.0000928421,-0.0003372131,0.0003819195
23397,0.0001449053,0.0000966620,-0.0003053933,0.0003515766
23398,0.0001359285,0.0001010503,-0.0002725621,0.0003209016
23399,0.0001269968,0.0001052973,-0.0002388917,0.0002903187
23400,0.0001177581,0.0001098927,-0.0002045097,0.0002603221
23401,0.0001083885,0.0001146464,-0.0001692115,0.0002313533
23402,0.0000991258,0.0001194592,-0.0001341393,0.0002051579
23403,0.0000895346,0.0001246096,-0.0000975529,0.0001818256
23404,0.0000801891,0.0001297193,-0.0000615635,0.0001644611
23405,0.0000705284,0.0001351869,-0.0000247302,0.0001544711
23406,0.0000610994,0.0001405732,0.0000120242,0.0001537483
23407,0.0000518382,0.0001459983,0.0000484367,0.0001623232
23408,0.0000425699,0.0001516016,0.0000850262,0.0001789545
23409,0.0000334343,0.0001572038,0.0001210318,0.0002011954
23410,0.0000245048,0.0001628345,0.0001565949,0.0002272389
23411,0.0000157854,0.0001684540,0.0001916682,0.0002556611
23412,0.0000073410,0.0001740721,0.0002258541,0.0002852456
23413,-0.0000008934,0.0001797089,0.0002594550,0.0003156152
23414,-0.0000087588,0.0001852044,0.0002918731,0.0003457850
23415,-0.0000162952,0.0001904186,0.0003234104,0.0003756582
23416,-0.0000235728,0.0001956316,0.0003535686,0.0004047693
23417,-0.0000304114,0.0002006435,0.0003825495,0.0004330436
23418,-0.0000369012,0.0002055041,0.0004101545,0.0004602394
23419,-0.0000429821,0.0002100336,0.0004363848,0.0004862029
23420,-0.0000487442,0.0002143719,0.0004611417,0.0005108650
23421,-0.0000541976,0.0002184892,0.0004843261,0.0005340849
23422,-0.0000593023,0.0002223755,0.0005058413,0.0005557365
23423,-0.0000640681,0.0002258105,0.0005257809,0.0005757957
23424,-0.0000685553,0.0002287947,0.0005438515,0.0005939877
23425,-0.0000726737,0.0002313079,0.0005598507,0.0006100964
23426,-0.0000763834,0.0002334400,0.0005738800,0.0006242331
23427,-0.0000795845,0.0002352612,0.0005860390,0.0006364929
23428,-0.0000825870,0.0002364916,0.0005963274,0.0006468039
23429,-0.0000850609,0.0002372611,0.0006041446,0.0006546136
23430,-0.0000871262,0.0002373897,0.0006102918,0.0006606065
23431,-0.0000888630,0.0002371576,0.0006142624,0.0006644236
23432,-0.0000903611,0.0002364346,0.0006163669,0.0006663142
23433,-0.0000916309,0.0002352512,0.0006164840,0.0006661771
23434,-0.0000925520,0.0002335868,0.0006147361,0.0006641003
23435,-0.0000933048,0.0002314721,0.0006111964,0.0006601864
23436,-0.0000938790,0.0002288966,0.0006057850,0.0006543564
23437,-0.0000942547,0.0002259405,0.0005985921,0.0006467190
23438,-0.0000945320,0.0002224738,0.0005897154,0.0006373344
23439,-0.0000947108,0.0002185766,0.0005791529,0.0006262300
23440,-0.0000948012,0.0002140690,0.0005669021,0.0006133439
23441,-0.0000946532,0.0002093109,0.0005529604,0.0005987784
23442,-0.0000943667,0.0002040624,0.0005377251,0.0005828335
23443,-0.0000940719,0.0001984036,0.0005210934,0.0005654660
23444,-0.0000937887,0.0001924644,0.0005031620,0.0005468188
23445,-0.0000934771,0.0001861849,0.0004840278,0.0005269589
23446,-0.0000931871,0.0001795652,0.0004636873,0.0005058986
23447,-0.0000929287,0.0001726853,0.0004423372,0.0004838576
23448,-0.0000926720,0.0001655652,0.0004200735,0.0004609357
23449,-0.0000924868,0.0001581749,0.0003969926,0.0004372370
23450,-0.0000923934,0.0001505946,0.0003730903,0.0004128094
23451,-0.0000922815,0.0001429842,0.0003485624,0.0003878867
23452,-0.0000922213,0.0001352638,0.0003235047,0.0003625691
23453,-0.0000923328,0.0001273134,0.0002979127,0.0003368769
23454,-0.0000925459,0.0001192530,0.0002720819,0.0003111504
23455,-0.0000927906,0.0001112127,0.0002458073,0.0002853061
23456,-0.0000931269,0.0001031926,0.0002193441,0.0002596790
23457,-0.0000935949,0.0000951026,0.0001928775,0.0002345341
23458,-0.0000941745,0.0000870828,0.0001663721,0.0002100760
23459,-0.0000948458,0.0000791833,0.0001399627,0.0001866957
23460,-0.0000955486,0.0000714241,0.0001136639,0.0001647738
23461,-0.0000963930,0.0000637051,0.0000876801,0.0001450440
23462,-0.0000973291,0.0000562066,0.0000619956,0.0001283573
23463,-0.0000983369,0.0000487879,0.0000364645,0.0001156722
23464,-0.0000994260,0.0000415704,0.0000116556,0.0001083951
23465,-0.0001005469,0.0000345030,-0.0000128072,0.0001070708
23466,-0.0001017695,0.0000275456,-0.0000368850,0.0001116973
23467,-0.0001029931,0.0000210802,-0.0000597923,0.0001209424
23468,-0.0001042488,0.0000146938,-0.0000825936,0.0001338112
23469,-0.0001054453,0.0000086399,-0.0001039865,0.0001483460
23470,-0.0001066338,0.0000027653,-0.0001249248,0.0001642700
23471,-0.0001079137,-0.0000026883,-0.0001451291,0.0001808730
23472,-0.0001091550,-0.0000079811,-0.0001644154,0.0001975119
23473,-0.0001102980,-0.0000129636,-0.0001827428,0.0002138425
23474,-0.0001114524,-0.0000175852,-0.0002002110,0.0002298158
23475,-0.0001126980,-0.0000219456,-0.0002168352,0.0002453568
23476,-0.0001136954,-0.0000260559,-0.0002325161,0.0002601332
23477,-0.0001146739,-0.0000298548,-0.0002470724,0.0002740186
23478,-0.0001155638,-0.0000333129,-0.0002607038,0.0002871084
23479,-0.0001162551,-0.0000364600,-0.0002732876,0.0002992168
23480,-0.0001169576,-0.0000392861,-0.0002848610,0.0003104324
23481,-0.0001175615,-0.0000418612,-0.0002955014,0.0003207711
23482,-0.0001180266,-0.0000442353,-0.0003051659,0.0003301716
23483,-0.0001184230,-0.0000463583,-0.0003138323,0.0003386205
23484,-0.0001186205,-0.0000482202,-0.0003215579,0.0003461149
23485,-0.0001186993,-0.0000498880,-0.0003283193,0.0003526640
23486,-0.0001186493,-0.0000512987,-0.0003340839,0.0003582196
23487,-0.0001184804,-0.0000524431,-0.0003389473,0.0003628680
23488,-0.0001180426,-0.0000533814,-0.0003428842,0.0003665422
23489,-0.0001174459,-0.0000542044,-0.0003458221,0.0003692216
23490,-0.0001168702,-0.0000548132,-0.0003480075,0.0003711770
23491,-0.0001159356,-0.0000552607,-0.0003492617,0.0003721271
23492,-0.0001150220,-0.0000554880,-0.0003497227,0.0003723103
23493,-0.0001138393,-0.0000555798,-0.0003493854,0.0003716432
23494,-0.0001126476,-0.0000555054,-0.0003483233,0.0003702695
23495,-0.0001112768,-0.0000553326,-0.0003465584,0.0003681670
23496,-0.0001097968,-0.0000550634,-0.0003441431,0.0003654063
23497,-0.0001082477,-0.0000546927,-0.0003411390,0.0003620562
23498,-0.0001065394,-0.0000542727,-0.0003375780,0.0003581272
23499,-0.0001047319,-0.0000537922,-0.0003334295,0.0003536065
23500,-0.0001028451,-0.0000532253,-0.0003288071,0.0003486032
23501,-0.0001008690,-0.0000526108,-0.0003237235,0.0003431317
23502,-0.0000988036,-0.0000519829,-0.0003182661,0.0003372798
23503,-0.0000967193,-0.0000513277,-0.0003123596,0.0003309950
23504,-0.0000946348,-0.0000506426,-0.0003062274,0.0003244929
23505,-0.0000924814,-0.0000499461,-0.0002997156,0.0003176112
23506,-0.0000902585,-0.0000492461,-0.0002929554,0.0003104749
23507,-0.0000880357,-0.0000485665,-0.0002860227,0.0003031798
23508,-0.0000858134,-0.0000478952,-0.0002789121,0.0002957192
23509,-0.0000835719,-0.0000472225,-0.0002715938,0.0002880580
23510,-0.0000813793,-0.0000465978,-0.0002643362,0.0002804774
23511,-0.0000791692,-0.0000459721,-0.0002567488,0.0002725823
23512,-0.0000769974,-0.0000453543,-0.0002493791,0.0002649066
23513,-0.0000748378,-0.0000448152,-0.0002416933,0.0002569528
23514,-0.0000727278,-0.0000442945,-0.0002340978,0.0002491046
23515,-0.0000706975,-0.0000438020,-0.0002266282,0.0002414065
23516,-0.0000686982,-0.0000433680,-0.0002190131,0.0002335957
23517,-0.0000661305,-0.0000422044,-0.0002120793,0.0002261241
23518,-0.0000635667,-0.0000410104,-0.0002050415,0.0002185511
23519,-0.0000610497,-0.0000398462,-0.0001978930,0.0002108944
23520,-0.0000585184,-0.0000387525,-0.0001907655,0.0002032674
23521,-0.0000559781,-0.0000376081,-0.0001834381,0.0001954417
23522,-0.0000534603,-0.0000366284,-0.0001760508,0.0001875993
23523,-0.0000509576,-0.0000356255,-0.0001685032,0.0001796084
23524,-0.0000484638,-0.0000346208,-0.0001610472,0.0001717077
23525,-0.0000459606,-0.0000336871,-0.0001534609,0.0001636993
23526,-0.0000434941,-0.0000329144,-0.0001458835,0.0001557469
23527,-0.0000410282,-0.0000321878,-0.0001383413,0.0001478435
23528,-0.0000385724,-0.0000314204,-0.0001308041,0.0001399457
23529,-0.0000361164,-0.0000307663,-0.0001232971,0.0001321103
23530,-0.0000336829,-0.0000300838,-0.0001158965,0.0001243848
23531,-0.0000312480,-0.0000294814,-0.0001085003,0.0001166958
23532,-0.0000288266,-0.0000288977,-0.0001013125,0.0001092258
23533,-0.0000264153,-0.0000284473,-0.0000942984,0.0001019765
23534,-0.0000240285,-0.0000279862,-0.0000874423,0.0000949039
